shot_made_flag,shot_id,IP_1,IP_0,pred
,1,0.361116382,0.638883618,0
,8,0.2952069147,0.7047930853,0
,17,0.765085299,0.234914701,1
,20,0.8002031367,0.1997968633,1
,33,0.3628256027,0.6371743973,0
,34,0.4429701595,0.5570298405,0
,35,0.4169464006,0.5830535994,0
,36,0.428742131,0.571257869,0
,37,0.6308587491,0.3691412509,1
,38,0.3637605904,0.6362394096,0
,45,0.3715818771,0.6284181229,0
,50,0.2663098228,0.7336901772,0
,55,0.4251562138,0.5748437862,0
,60,0.3915549503,0.6084450497,0
,66,0.4190849559,0.5809150441,0
,67,0.350453119,0.649546881,0
,71,0.3929190403,0.6070809597,0
,80,0.33439498,0.66560502,0
,85,0.275950275,0.724049725,0
,86,0.5390407633,0.4609592367,1
,95,0.5354801622,0.4645198378,1
,104,0.2911012221,0.7088987779,0
,113,0.2806735289,0.7193264711,0
,123,0.3450099255,0.6549900745,0
,126,0.8397189484,0.1602810516,1
,133,0.6752185961,0.3247814039,1
,141,0.2631198719,0.7368801281,0
,144,0.397136755,0.602863245,0
,150,0.7637924126,0.2362075874,1
,152,0.3797793495,0.6202206505,0
,153,0.7540817343,0.2459182657,1
,156,0.3491860105,0.6508139895,0
,159,0.9231295227,0.0768704773,1
,165,0.7780087738,0.2219912262,1
,172,0.3129568523,0.6870431477,0
,182,0.9301902578,0.0698097422,1
,192,0.3979348833,0.6020651167,0
,193,0.7895287086,0.2104712914,1
,196,0.3397658482,0.6602341518,0
,202,0.3478443123,0.6521556877,0
,210,0.3449342651,0.6550657349,0
,211,0.3883771348,0.6116228652,0
,228,0.9752852373,0.0247147627,1
,257,0.4697667868,0.5302332132,0
,260,0.4607552329,0.5392447671,0
,264,0.4469360248,0.5530639752,0
,267,0.5996396131,0.4003603869,1
,279,0.9677075393,0.0322924607,1
,282,0.4978233562,0.5021766438,0
,293,0.4843805445,0.5156194555,0
,299,0.8146848794,0.1853151206,1
,300,0.6544452104,0.3455547896,1
,301,0.8147418461,0.1852581539,1
,317,0.4122685105,0.5877314895,0
,327,0.3343417902,0.6656582098,0
,328,0.332226914,0.667773086,0
,335,0.4282624221,0.5717375779,0
,346,0.7272399012,0.2727600988,1
,348,0.2898643427,0.7101356573,0
,365,0.48710484,0.51289516,0
,390,0.7781287673,0.2218712327,1
,391,0.7700148893,0.2299851107,1
,392,0.7612976947,0.2387023053,1
,397,0.4010663916,0.5989336084,0
,418,0.4013991804,0.5986008196,0
,428,0.255054072,0.744945928,0
,434,0.5614884732,0.4385115268,1
,439,0.3803207848,0.6196792152,0
,440,0.3370105208,0.6629894792,0
,456,0.3327401562,0.6672598438,0
,459,0.2946613979,0.7053386021,0
,472,0.3920052684,0.6079947316,0
,480,0.2667808743,0.7332191257,0
,491,0.3452537726,0.6547462274,0
,497,0.297793991,0.702206009,0
,509,0.3490436349,0.6509563651,0
,511,0.3570867217,0.6429132783,0
,523,0.3166465187,0.6833534813,0
,533,0.4396763862,0.5603236138,0
,544,0.4342543817,0.5657456183,0
,546,0.4218288884,0.5781711116,0
,555,0.7749231151,0.2250768849,1
,558,0.4191762596,0.5808237404,0
,560,0.3650268324,0.6349731676,0
,573,0.3188736109,0.6811263891,0
,591,0.3885667868,0.6114332132,0
,596,0.3707887293,0.6292112707,0
,597,0.359613304,0.640386696,0
,601,0.5892232538,0.4107767462,1
,605,0.4783733869,0.5216266131,0
,617,0.3588270082,0.6411729918,0
,628,0.3019561709,0.6980438291,0
,634,0.3691016747,0.6308983253,0
,646,0.2750621582,0.7249378418,0
,649,0.4108955265,0.5891044735,0
,651,0.7421226785,0.2578773215,1
,654,0.755257089,0.244742911,1
,656,0.466088373,0.533911627,0
,657,0.468685968,0.531314032,0
,669,0.3603342582,0.6396657418,0
,670,0.9584342832,0.0415657168,1
,693,0.6307740648,0.3692259352,1
,694,0.3451944415,0.6548055585,0
,699,0.4893111324,0.5106888676,0
,711,0.4004905433,0.5995094567,0
,718,0.274092655,0.725907345,0
,722,0.2611339664,0.7388660336,0
,723,0.294746822,0.705253178,0
,725,0.5946241502,0.4053758498,1
,734,0.3191960597,0.6808039403,0
,735,0.3768163592,0.6231836408,0
,737,0.7256898881,0.2743101119,1
,746,0.3005947392,0.6994052608,0
,747,0.5852958565,0.4147041435,1
,766,0.3886003958,0.6113996042,0
,767,0.3447548684,0.6552451316,0
,771,0.293864107,0.706135893,0
,773,0.3066872994,0.6933127006,0
